State,price
California,546680
Texas,186730
New York,263590
Florida,235030
Illinois,176020
Pennsylvania,167560
Ohio,133470
Michigan,139500
Georgia,175440
North Carolina,174900
New Jersey,325210
Virginia,251600
Washington,373540
Massachusetts,403850
Indiana,133940
Arizona,249430
Tennessee,156660
Missouri,153310
Maryland,293460
Wisconsin,179140
Minnesota,229590
Colorado,374470
Alabama,125710
South Carolina,159540
Louisiana,144860
Kentucky,139390
Oregon,336610
Oklahoma,120110
Connecticut,252850
Iowa,140000
Mississippi,120940
Arkansas,121200
Kansas,134530
Utah,315880
Nevada,284710
New Mexico,186170
West Virginia,94620
Nebraska,157480
Idaho,233050
Hawaii,723120
Maine,222680
New Hampshire,275070
Rhode Island,278100
Montana,226410
Delaware,235360
South Dakota,181500
Alaska,327570
Vermont,196430
District of Columbia,683160
Wyoming,219300
mortRate,4.532
DJI_Open,25078.99961
DJI_High,25919.7002
DJI_Low,24140.39707
DJI_Close,25108.61797
